Name,Location,Rating,Contact
Beauty Lounge Permanent Makeup & Med Spa,"576 E Mission Rd, San Marcos, CA, 92069",4.5,+17608778747
Mint Skin,"285 N El Camino Real, Encinitas, CA, 92024",5.0,+16197268147
Aesthetically Pleasing Medical Spa,"285 N El Camino Real, Encinitas, CA, 92024",5.0,+17604368400
Rejeuvine MedSpa,"The Forum In Carlsbad, Carlsbad, CA, 92009",4.5,+17607535757
Pash Skin Studio,"2917 State St, Carlsbad, CA, 92008",5.0,+17607772994
Skin and Tonique,"300 S Escondido Blvd, Escondido, CA, 92025",5.0,+17604984493
skinBLISS,"7220 Avenida Encinas, Carlsbad, CA, 92011",4.5,+17603313746
De Luz Medical Aesthetics,"31843 Rancho California Rd, Temecula, CA, 92591",4.5,+19516943600
Waxology,"555 Beech St, Carlsbad, CA, 92008",5.0,+18582129200
SKIN,"10330 Friars Rd, San Diego, CA, 92120",5.0,+16193810011
Good Skin Society,"250 E Grand Ave, Escondido, CA, 92025",5.0,+13232095669
Executive Medical,"1537 Grand Ave, San Marcos, CA, 92078",4.5,+17602903552
SKIN in The Ranch,"16921 Via De Santa Fe, Rancho Santa Fe, CA, 92067",5.0,+16193810011
SDIM & Spa,"12285 Scripps Poway Pkwy, Poway, CA, 92064",5.0,+18582083676
Surface Esthetics,"12702 Via Cortina, Del Mar, CA, 92014",5.0,+18584720083
Just Skin,"171 Saxony Rd, Encinitas, CA, 92024",4.5,+17609422991
Eden Esthetics,"437 S Hwy 101, Solana Beach, CA, 92075",5.0,+17608155594
Shanna Fae Skin Care,"12245 World Trade Dr, San Diego, CA, 92128",5.0,+16198232900
Elena T Beauty,"12264 El Camino Real, San Diego, CA, 92130",5.0,+18584371845
Alexis K,"344 S Cedros Ave, Solana Beach, CA, 92075",4.5,+18582597779
Lashes to Lashes,"2690 Via De La Valle, Del Mar, CA, 92014",5.0,+18588883231
Skin and Brows By Tina,"12264 El Camino Real, San Diego, CA, 92130",5.0,+18584498811
Bloom Spa & Salon,"10175 Rancho Carmel Dr, San Diego, CA, 92128",5.0,+18587985177
Del Mar Aesthetic Clinic,"13983 Mango Dr, Del Mar, CA, 92014",4.5,+18582594772
Browtique,"6105 Paseo Delicias, Rancho Santa Fe, CA, 92067",4.5,+18587561334
Skin Rejuvenation Center,"2002 Jimmy Durante Blvd, Del Mar, CA, 92014",5.0,+18587556351
Doris Dean Skin Boutique,"301 N Hwy 101, Solana Beach, CA, 92075",5.0,+18588473223
Lanoi Cosmetic Dermatology,"6605 Nancy Ridge Dr, San Diego, CA, 92121",5.0,+18589002747
Tina Marie Skincare at True Beauty,"7746 Herschel Ave, La Jolla, CA, 92037",5.0,+18584547546
T-ology Beauty,"2002 Jimmy Durante Blvd, Del Mar, CA, 92014",5.0,+18583331910
MediLux Esthetics,", San Diego, CA, 92027",5.0,+17602705862
ChanteLashes,"915 Camino del Mar, Del Mar, CA, 92014",5.0,+18583148440
Jillena Greer - True Beauty,"7746 Herschel Ave, La Jolla, CA, 92037",5.0,+16198049833
Neu Look Med Spa & Skin Center,"7805 Highlands Village Pl, San Diego, CA, 92129",4.0,+18585385665
Torrey Pines Dermatology,"9850 Genesee Ave, La Jolla, CA, 92037",4.0,+18583628800
Your Acne Solutions,"4760 Pavlov Avenue, San Diego, CA, 92122",5.0,+18056305805
Facesplus,"4510 Executive Dr, San Diego, CA, 92121",4.0,+18584537224
​​​Flutter Lash & Skin Studio,"7130 Aveneda Encinas, Carlsbad, CA, 92011",4.5,+17604485008
Alexus Surgery Center & Medspa,"5720 Oberlin Dr, San Diego, CA, 92121",5.0,+18584557557
Releaf Spa,"2121 Newcastle Ave, Cardiff-by-the-Sea, CA, 92007",5.0,+17604522530
True Beauty San Diego Aesthetic Surgery & Medicine,"7746 Herschel Ave, La Jolla, CA, 92037",4.5,+18584547546
Belladerma Cosmetic Surgery & Skin Care Center,"3655 Nobel Dr, San Diego, CA, 92122",4.5,+18582616900
"Jodi Sawyer, RN","11515 El Camino Real, San Diego, CA, 92130",4.0,+17605052050
Fancy Me Beautique,"7655 Girard Ave, La Jolla, CA, 92037",5.0,+18583457003
"Jason R Lupton, MD","12395 El Camino Real, San Diego, CA, 92130",4.0,+18583505555
Salon Mirror Mirror,"148 S Solana Hills Dr, Solana Beach, CA, 92075",5.0,+18587940372
FACES SkinGym,"4510 Executive Dr, San Diego, CA, 92121",5.0,+18584537224
Gabrielle Esthetics,"7760 Fay Ave, La Jolla, CA, 92037",5.0,+18586529752
Boheme Brows By Nikki,"41028 Promenade Chardonnay Hills, Temecula, CA, 92591",5.0,+13108095757
